ACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOTO,,,,,,,,,,,,,,,,,,,,,
state,int,main,(,),{,},id,[,],",",;,=,if,else,while,||,&&,Q',==,!=,<,<=,>,>=,+,-,*,/,bool,float,char,z,b,f,c,$,P,D,D',D*,S,S',ASS,IF,WL,EXP,C,Q,QOP,R,ROP,ADD,AOP,TERM,MOP,FAC,T,LIT
42,,,,r36,,,,,r36,,r36,,,,,r36,r36,,r36,r36,r36,r36,r36,r36,r36,r36,s70,s71,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,
43,,,,r40,,,,s72,r40,,r40,,,,,r40,r40,,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,r42,,,,,r42,,r42,,,,,r42,r42,,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,s45,,,,s43,,,,,,,,,,,,,,,,,,,,,,,,,s46,s47,s48,s49,,,,,,,,,,,73,37,38,,39,,40,,41,,42,,44
46,,,,r48,,,,,r48,,r48,,,,,r48,r48,,r48,r48,r48,r48,r48,r48,r48,r48,r48,r48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,r49,,,,,r49,,r49,,,,,r49,r49,,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,r50,,,,,r50,,r50,,,,,r50,r50,,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,r51,,,,,r51,,r51,,,,,r51,r51,,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,s74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,s75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,s76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,s77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,r5,,,,r5,,r5,,,,,,r5,,r5,,,,,,,,,,,,,,r5,r5,r5,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,r13,r13,r13,r13,r13,,,,r13,,r13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,s45,,,,s43,,,,,,,,,,,,,,,,,,,,,,,,,s46,s47,s48,s49,,,,,,,,,,,78,37,38,,39,,40,,41,,42,,44
57,,,,,,,,,,,,,,,,,,s79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,s45,,,,s43,,,,,,,,,,,,,,,,,,,,,,,,,s46,s47,s48,s49,,,,,,,,,,,,,,,80,,40,,41,,42,,44
59,,,r24,,,,r24,,,,,,,,,,,,,,,,,,,,,,,,,r24,r24,r24,r24,,,,,,,,,,,,,,,,,,,,,,,
60,,,r25,,,,r25,,,,,,,,,,,,,,,,,,,,,,,,,r25,r25,r25,r25,,,,,,,,,,,,,,,,,,,,,,,
61,,,s45,,,,s43,,,,,,,,,,,,,,,,,,,,,,,,,s46,s47,s48,s49,,,,,,,,,,,,,,,,,81,,41,,42,,44
